site_id,site_name,region,lat,lon,property,depth_cm,value,unit,ci50_lower,ci50_upper
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,aluminium_extractable,0-20,11.2,ppm,1.8,52.7
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,aluminium_extractable,20-50,11.2,ppm,2.2,45.9
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,ph,0-20,6.8,,6.6,7.0
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,ph,20-50,6.9,,6.6,7.2
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,nitrogen_total,0-20,0.9,g/kg,0.8,1.0
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,nitrogen_total,20-50,0.6,g/kg,0.6,0.7
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,phosphorous_extractable,0-20,9.0,ppm,7.7,10.4
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,phosphorous_extractable,20-50,7.2,ppm,5.7,9.0
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,potassium_extractable,0-20,163.0,ppm,152.3,174.5
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,potassium_extractable,20-50,133.3,ppm,124.5,142.7
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,magnesium_extractable,0-20,297.9,ppm,243.1,364.9
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,magnesium_extractable,20-50,364.0,ppm,318.0,416.8
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,calcium_extractable,0-20,991.3,ppm,866.1,1134.6
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,calcium_extractable,20-50,991.3,ppm,866.1,1134.6
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,iron_extractable,0-20,72.7,ppm,55.3,95.5
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,iron_extractable,20-50,26.1,ppm,19.7,34.5
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,zinc_extractable,0-20,1.5,ppm,1.1,1.8
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,zinc_extractable,20-50,1.2,ppm,0,0
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,sulphur_extractable,0-20,21.2,ppm,11.9,37.1
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,sulphur_extractable,20-50,15.4,ppm,6.8,33.5
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,carbon_total,0-20,12.5,g/kg,11.6,13.4
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,carbon_total,20-50,11.2,g/kg,9.6,12.9
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,carbon_organic,0-20,7.2,g/kg,6.1,8.3
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,carbon_organic,20-50,4.5,g/kg,3.8,5.3
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,bulk_density,0-20,1.5,g/cm³,1.5,1.5
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,bulk_density,20-50,1.5,g/cm³,1.5,1.5
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,bedrock_depth,0-200,200,cm,187.0,213.0
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,stone_content,0-20,2.7,%,2.0,3.5
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,stone_content,20-50,2.7,%,2.0,3.5
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,silt_content,0-20,14,%,12.0,16.0
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,silt_content,20-50,13,%,10.3,15.7
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,clay_content,0-20,24,%,22.7,25.3
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,clay_content,20-50,30,%,28.7,31.3
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,sand_content,0-20,56,%,52.0,60.0
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,sand_content,20-50,53,%,50.3,55.7
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,texture_class,0-20,Sandy Clay Loam,,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,texture_class,20-50,Sandy Clay Loam,,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,cation_exchange_capacity,0-20,11.2,cmol(+)/kg,10.4,12.0
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,cation_exchange_capacity,20-50,11.2,cmol(+)/kg,10.4,12.0
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,slope_angle,0,1.4,°,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,fcc,0-50,No constraints,,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,land_cover_2015,0,Herbaceous vegetation,,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,crop_cover_2015,0,0,%,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,land_cover_2016,0,Herbaceous vegetation,,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,crop_cover_2016,0,0,%,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,land_cover_2017,0,Herbaceous vegetation,,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,crop_cover_2017,0,0,%,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,land_cover_2018,0,Herbaceous vegetation,,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,crop_cover_2018,0,0,%,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,land_cover_2019,0,Herbaceous vegetation,,,
SA1,Bergvlei Grains,"Free State, South Africa",-28.4541,26.7968,crop_cover_2019,0,0,%,,
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,aluminium_extractable,0-20,72.7,ppm,31.8,164.6
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,aluminium_extractable,20-50,65.7,ppm,28.7,148.8
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,ph,0-20,6.3,,6.2,6.4
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,ph,20-50,6.3,,6.1,6.5
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,nitrogen_total,0-20,1.2,g/kg,1.1,1.3
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,nitrogen_total,20-50,0.9,g/kg,0.8,0.9
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,phosphorous_extractable,0-20,12.5,ppm,10.8,14.4
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,phosphorous_extractable,20-50,11.2,ppm,9.6,12.9
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,potassium_extractable,0-20,89.0,ppm,77.7,102.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,potassium_extractable,20-50,72.7,ppm,67.9,77.8
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,magnesium_extractable,0-20,297.9,ppm,260.2,341.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,magnesium_extractable,20-50,297.9,ppm,260.2,341.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,calcium_extractable,0-20,811.4,ppm,758.4,868.1
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,calcium_extractable,20-50,811.4,ppm,758.4,868.1
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,iron_extractable,0-20,72.7,ppm,55.3,95.5
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,iron_extractable,20-50,26.1,ppm,19.7,34.5
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,zinc_extractable,0-20,2.7,ppm,2.2,3.2
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,zinc_extractable,20-50,2.3,ppm,2.1,2.6
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,sulphur_extractable,0-20,5.7,ppm,4.5,7.2
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,sulphur_extractable,20-50,3.5,ppm,2.0,5.7
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,carbon_total,0-20,29.0,g/kg,20.4,41.0
SA2,Umfolozi Cane,"KwaZulu-Natal, South Africa",-28.3667,32.0833,carbon_total,20-50,21.2,g/kg,18.4,24.4
