property,unit,SA1_0-20cm,SA2_0-20cm,SA3_0-20cm,SA1_20-50cm,SA2_20-50cm,SA3_20-50cm
ph,,6.8,6.3,6.8,6.9,6.3,6.9
nitrogen_total,g/kg,0.9,1.2,1.2,0.6,0.9,0.9
carbon_total,g/kg,12.5,29.0,21.2,11.2,21.2,19.1
carbon_organic,g/kg,7.2,13.9,7.2,4.5,8.0,4.5
phosphorous_extractable,ppm,9.0,12.5,15.4,7.2,11.2,12.5
potassium_extractable,ppm,163.0,89.0,108.9,133.3,72.7,98.5
calcium_extractable,ppm,991.3,811.4,491.7,991.3,811.4,444.9
magnesium_extractable,ppm,297.9,297.9,199.3,364.0,297.9,199.3
sulphur_extractable,ppm,21.2,5.7,26.1,15.4,3.5,17.2
zinc_extractable,ppm,1.5,2.7,2.0,1.2,2.3,1.5
iron_extractable,ppm,72.7,72.7,39.4,26.1,26.1,19.1
aluminium_extractable,ppm,11.2,72.7,23.5,11.2,65.7,23.5
cation_exchange_capacity,cmol(+)/kg,11.2,15.4,8.0,11.2,15.4,8.0
sand_content,%,56,42,49,53,39,48
silt_content,%,14,18,22,13,18,21
clay_content,%,24,27,25,30,31,29
texture_class,,Sandy Clay Loam,Sandy Clay Loam,Sandy Clay Loam,Sandy Clay Loam,Sandy Clay Loam,Sandy Clay Loam
bulk_density,g/cm³,1.5,1.3,1.4,1.5,1.3,1.4
stone_content,%,2.7,1.2,2.7,2.7,1.2,3.1
bedrock_depth,cm,200,200,194,,,
slope_angle,°,1.4,10.0,2.2,,,
fcc,,No constraints,Low K,No constraints,,,
